key,visitor_id,call_id,chat_id,external_id,form2lead_id,tickets_id
"event:465189","279","call_ffvmr","chat_e7ysa","","f2l_04tqy","ticket_5sa9e"
"event:862381","16f","call_mwaxf","","ext_9q0dz","f2l_qpo5a",""
"event:27056","saa","call_yk4q5","","ext_pdamm","f2l_gy1xd",""
"event:505745","x0n","call_bh5tj","","ext_z6c4u","",""
"event:952143","pvp","call_vo9kg","chat_hd2ys","ext_xwb8w","",""
"event:335709","gyv","","","","f2l_3n8lv","ticket_56p40"
"event:330365","jfp","","chat_y8522","","f2l_mfha4","ticket_gr8uu"
"event:148749","o3k","call_2xire","chat_vny2g","ext_0w28i","f2l_uahzu",""
"event:931749","w4i","","","","f2l_zho8r","ticket_89m0g"
"event:526095","3k5","call_utay8","","ext_c5vro","f2l_xjfku","ticket_2q682"
"event:271287","nts","","chat_itsrz","","f2l_ilbj0","ticket_rr8mv"
"event:787496","h5o","call_0az10","chat_lja7c","ext_m5edi","f2l_57rj0",""
"event:546254","efy","call_enzdc","chat_h0kke","ext_9mcz7","","ticket_bp3i2"
"event:272926","mrj","call_z6r1i","chat_ydaa8","ext_wt8tf","f2l_hy7fq",""
"event:461309","ucs","call_e1rhh","chat_be369","ext_ofvli","","ticket_wl3qr"
"event:125850","tai","call_3i372","chat_r0zba","ext_c591k","",""
"event:725775","f7r","call_fecos","","ext_lvxm4","",""
"event:768635","em4","call_lv90l","chat_ks8en","ext_ml9f1","f2l_1m5dz","ticket_1mvzw"
"event:695673","0ai","","chat_vosad","","","ticket_fpi9o"
"event:698803","69z","call_pkwew","chat_pe6x2","ext_6fow2","f2l_6dfbi",""
"event:805479","cwh","call_kaned","chat_vshua","ext_2xlj7","f2l_44ws6","ticket_29b67"
"event:224528","yl1","","chat_3douz","","",""
"event:342533","6tl","call_ngycw","chat_kgvcq","ext_9j75r","","ticket_9knxe"
"event:760828","cx8","","chat_r6e4d","","",""
"event:187923","r7x","call_xkzy8","chat_wp2xc","ext_a7xty","f2l_mo7u8","ticket_06k65"
"event:467587","8i9","call_01tqq","chat_e0ejd","","","ticket_03xo0"
"event:821243","yy4","","chat_hdj0v","ext_4y323","","ticket_d1g6a"
"event:78967","utu","","chat_7vr80","","f2l_buesh",""
"event:616759","eol","call_gr25e","","ext_9rra3","","ticket_mgboy"
"event:984906","yqe","call_ub96a","chat_s1pu0","ext_5kagg","f2l_ab3gb","ticket_2s7rb"
"event:273018","g29","","chat_lx4et","","","ticket_oi2xs"
"event:900657","rl1","call_wxlti","","ext_p4hkh","f2l_66gh8",""
"event:255681","7f1","","chat_kx8c1","","f2l_w2kpo","ticket_c1a8y"
"event:46801","tdu","call_ymy2e","","ext_cw46r","f2l_20qdf","ticket_ercwe"
"event:992878","h8p","call_9roxn","chat_50yh8","ext_9hxid","f2l_8zxmg","ticket_oa3hf"
"event:545063","r79","call_raryk","chat_1bppc","ext_je3k2","f2l_2w9nu","ticket_fn02f"
"event:715253","fks","call_5imqa","chat_xrnji","ext_i3cja","f2l_w02b3",""
"event:604133","dbb","call_onnvc","chat_zpojp","","","ticket_9xz1u"
"event:246063","vya","","chat_mulwm","ext_izsfu","",""
"event:496073","pbd","call_1xopc","","ext_bpqsl","f2l_8e59l","ticket_mqkfj"
"event:845474","1sq","call_pxlwn","chat_24327","ext_0jw2a","","ticket_cfu0j"
"event:676338","noz","","chat_aqznm","ext_n1ds7","","ticket_n4690"
"event:172808","y72","call_07ksi","chat_0jay0","","","ticket_z61qz"
"event:710596","gun","call_5igam","","","f2l_okqzf",""
"event:109147","9he","","","ext_vsdep","f2l_b49us","ticket_wgemh"
"event:681514","xel","","chat_6jlag","ext_3u15m","f2l_xe7cu","ticket_ezubv"
"event:831645","eo9","call_fokcs","chat_tjmca","ext_yh3ka","f2l_wofu5","ticket_qnbpk"
"event:661638","jes","call_6qrvs","chat_iel3v","","f2l_magsu","ticket_hlvg5"
"event:899071","5pk","","chat_v2me7","ext_giuic","f2l_fkdoe",""
"event:411721","2lw","call_oyhch","chat_f3hk7","ext_rzijc","f2l_kt7ou",""
"event:214178","gjx","call_3wxvd","","ext_2c3sv","f2l_byyqn","ticket_jvtbm"
"event:589002","eaz","call_iar8e","chat_rcq1w","ext_qwvb8","","ticket_t5s67"
"event:176744","m7x","","","","","ticket_rz2xg"
"event:88209","eh1","call_gk65a","","ext_r01f6","",""
"event:732358","sis","","","ext_optbh","","ticket_3aw27"
"event:545829","dky","call_wylut","chat_esc0b","ext_qom07","f2l_wd2hw","ticket_65nuv"
"event:816854","5v8","","chat_pn599","","f2l_44wf3","ticket_wmfvn"
"event:317468","4we","call_oiped","chat_3x0tr","ext_uzswt","f2l_vffar",""
"event:988732","syy","call_eg6ec","chat_qr6di","ext_0zwj3","f2l_yoo7r",""
"event:904542","ive","call_6xujy","","ext_4l13o","","ticket_fy551"
"event:147574","ylh","","chat_mjhix","ext_6qv6n","f2l_t0ad4",""
"event:846296","gv2","call_yhmkm","chat_7nc3i","ext_n0ykd","",""
"event:193029","3li","call_lz8k4","chat_326zg","ext_4fqjc","",""
"event:856470","klu","call_54tro","chat_0bvv6","ext_xncl6","f2l_rvdor",""
"event:784640","nbh","call_ofbkr","","ext_570kk","f2l_5b5b9","ticket_n3t75"
"event:483738","q3d","call_2akk6","chat_v505e","","f2l_jwt4v","ticket_cohad"
"event:102449","tjr","","chat_lwhje","ext_cisya","f2l_faubv",""
"event:425623","uim","","chat_q8kqg","ext_i37k7","",""
"event:135003","f9k","call_z0y54","chat_nrxmd","ext_omijc","f2l_9hx3q",""
"event:945054","108","","","","f2l_4hkwa","ticket_oyw99"
"event:452776","3mx","call_ceqnd","chat_te8md","","f2l_n09ko","ticket_e044q"
"event:839303","vqe","call_tcbqd","chat_g0dqn","","",""
"event:419702","ij8","call_2oa2d","","ext_73td0","f2l_66x5x","ticket_ycekb"
"event:428604","4yf","","","ext_nxbd9","","ticket_l43u2"
"event:521073","vjz","call_jzud0","chat_g8tlt","ext_vbbjt","f2l_ymkvb",""
"event:168871","rgg","","chat_zmn0a","ext_to41u","f2l_3rug6","ticket_9yd55"
"event:453414","qhf","","","","","ticket_no21q"
"event:441453","ac7","call_xf6bl","","ext_rn154","f2l_ui2wo",""
"event:285015","fde","call_umkv4","","","f2l_lrl38","ticket_a9tuz"
"event:491534","c2v","call_48hy8","chat_hd1mu","ext_x4y7o","f2l_szh5o","ticket_cxeng"
"event:617986","9u8","call_57e9g","","","f2l_lpm39","ticket_witp6"
"event:863592","b0g","call_0krr0","chat_dsxo8","ext_thrvz","f2l_zlapx","ticket_5psm0"
"event:205390","9hb","","","ext_pyski","","ticket_qt6f0"
"event:135801","2vr","","chat_uz7rs","","","ticket_hduoq"
"event:377947","9j1","call_kout3","","ext_udm23","f2l_1syg9","ticket_3ejoe"
"event:453456","yuu","call_tiqal","","ext_b9ai8","",""
"event:371405","33c","","","ext_lo2ak","f2l_z5trc",""
"event:417562","165","call_uza3z","chat_edtls","","","ticket_8glzc"
"event:181630","b7g","call_pe9jl","","ext_6cntm","",""
"event:386187","8b7","","chat_701c9","ext_60nx1","f2l_li8ee",""
"event:987424","o0b","","","ext_zhhxu","f2l_jgsbx","ticket_b8hzx"
"event:794935","4ex","call_g2fi2","chat_0pfvb","","f2l_il3su","ticket_r6k8c"
"event:97930","587","","chat_inr91","ext_n7ulu","f2l_is4i4",""
"event:221585","5yc","call_hvpmc","chat_boshz","","f2l_5ciam",""
"event:518750","65g","call_2nzlr","chat_k9r79","ext_y3uiq","",""
"event:889121","aye","","","ext_k17uq","f2l_hlgae","ticket_r6vs1"
"event:217924","g5b","","chat_wyc6d","ext_v7du3","f2l_mne5m",""
"event:204504","i1m","","chat_zbbux","ext_ry6in","f2l_caeay",""
"event:119380","n0a","call_ky2rf","chat_vwpwi","ext_eccid","","ticket_6obt6"
"event:174998","vg4","call_w8cgf","chat_gx07g","","f2l_tuvx6","ticket_z7q4j"
"event:466728","vtc","","chat_5wzyr","ext_74ll6","f2l_wt054","ticket_24bc0"
"event:155464","p8n","call_diho6","chat_5cwp7","ext_lvd0p","",""
"event:218474","nak","","","","f2l_gjzxr","ticket_vtcuh"
"event:264458","vty","call_5jc7j","chat_mjc84","","","ticket_z2j76"
"event:674171","x6r","call_q4fsy","","ext_l4700","f2l_zw5e9","ticket_6n0ct"
"event:819010","ltg","call_q5er3","","ext_yzj5t","","ticket_t5meq"
"event:719011","nzo","call_v93ph","","ext_aexf4","f2l_apmiy","ticket_k4dqj"
"event:325246","d0n","call_vtfy4","chat_qqiw9","ext_9ovq0","f2l_ktvc1","ticket_pe3ku"
"event:967758","hbm","call_w8os5","chat_znmix","ext_t0jdt","f2l_wjt48",""
"event:598246","e56","call_kd3yq","","","","ticket_85c5f"
"event:413780","u32","call_r4074","chat_yad3s","ext_katse","f2l_6xik8","ticket_s52nr"
"event:886919","tw1","","chat_ojn5k","","",""
"event:127062","smp","call_dvtn3","","ext_54x45","f2l_bygt4","ticket_bhgjw"
"event:986694","x8q","","chat_9t8jt","ext_4lkhw","","ticket_10754"
"event:590952","1xy","call_55se6","chat_eb0ta","ext_xanri","","ticket_h5ez5"
"event:45028","ig9","","chat_88e8d","","f2l_8ur39","ticket_zxlql"
"event:638903","8wj","call_q3io5","","","f2l_obkzv",""
"event:501543","tip","","chat_rpo10","ext_hqqek","","ticket_1m6e9"
"event:274943","669","call_lrznl","chat_48pb4","ext_2mzf4","",""
"event:833271","3c9","call_jeizp","chat_3a8l0","ext_ip3u2","f2l_cj5ce","ticket_mmmq7"
"event:431920","14c","","chat_5nsdv","ext_ccn1v","f2l_okpet","ticket_9n7z3"
"event:950886","e0b","","chat_25nwp","ext_qbmwu","f2l_qjqwa","ticket_9v82m"
"event:152392","dgl","call_5anri","chat_cngeu","ext_kmfje","f2l_wwt51",""
"event:75265","81g","call_fc3g1","","ext_88bjw","","ticket_fgikk"
"event:543091","ygk","","chat_78yxx","","",""
"event:577658","cs6","call_0rlcn","chat_ncnc0","ext_8g1dq","f2l_2m8d3","ticket_tx9w7"
"event:706946","eie","call_p8nda","","","f2l_qxkdl","ticket_5zwdu"
"event:925782","tri","","chat_q96w8","ext_68tvg","f2l_pclcp","ticket_ca3p8"
"event:130115","hju","call_2ikld","","ext_zy9ny","","ticket_taxzi"
"event:469354","q8j","call_3y21f","chat_z9cz4","","f2l_si6ub","ticket_r90ml"
"event:367701","1oi","","","ext_5mvq6","","ticket_bhs0w"
"event:264932","flq","","chat_338kn","ext_ifhth","f2l_r1gtn","ticket_kzxcm"
"event:403964","sf3","call_hpj8r","chat_oqm7z","ext_3tkom","f2l_dn34k","ticket_mpv3h"
"event:684891","9of","call_3wbni","chat_5nih4","ext_apwu2","f2l_nng9q","ticket_mh6ez"
"event:5101","aue","call_cqmy4","","ext_99arl","","ticket_0p3zc"
"event:104253","dre","","chat_wdd7k","ext_w126r","f2l_28sbo","ticket_haty3"
"event:805820","1w9","","chat_yn7v6","","f2l_916y6","ticket_9gppb"
"event:250520","0mp","call_pxsx5","chat_i6cyp","ext_wj6m0","",""
"event:721569","35a","call_szog8","chat_l4sg1","ext_ybtge","","ticket_o6k6o"
"event:953241","egh","call_t1pfs","chat_w6xkx","ext_ukkcz","f2l_8hmzp","ticket_ye7bf"
"event:840242","e1t","","chat_w28eb","","",""
"event:309693","pav","","chat_rvw02","ext_rp1dn","","ticket_a8trh"
"event:752401","bu2","call_ft281","","ext_5vsz0","f2l_ao91g","ticket_7pq1t"
"event:172012","c09","call_nhfeu","chat_eassk","ext_6wb03","",""
"event:979383","sm3","","chat_oqeuy","ext_dogwy","f2l_x6lfa","ticket_z8dit"
"event:849680","4pq","call_dpckp","chat_n7v59","ext_h68io","","ticket_my09e"
"event:664633","npe","","chat_m643l","ext_x3ij7","","ticket_8rkmd"
"event:849355","dzx","call_moepa","chat_ev6bt","ext_ikfty","f2l_8va7x","ticket_s2zn6"
"event:33067","1ei","","chat_nmibu","ext_udnp4","f2l_a4dd4","ticket_vlwds"
"event:68326","6fz","call_0hqza","chat_4q2a9","ext_887xu","","ticket_iqhzr"
"event:646449","p5e","call_1crdy","","","f2l_1996f","ticket_v0m44"
"event:240825","7q2","","","ext_xcb7l","f2l_0mbc7","ticket_l6uxj"
"event:63595","euv","","chat_ykl2p","ext_avcfg","","ticket_crly8"
"event:535903","im3","call_q9qaz","chat_50uy6","ext_qk5s2","f2l_1by95","ticket_72vr8"
"event:448543","jit","call_ozyni","chat_as60z","ext_x0wp4","f2l_7ne9f",""
"event:559967","8a4","","chat_0syhy","ext_z29ry","f2l_wv2gq",""
"event:107869","wwp","call_84bh4","chat_cs0x4","ext_5n48e","","ticket_nuu0m"
"event:453091","43r","call_w6ck5","","ext_q9iyp","","ticket_vizo6"
"event:686429","osh","","chat_v2rmw","ext_fvjvw","f2l_jztvw",""
"event:478861","3z5","call_z9fup","chat_306m1","ext_vu0gk","f2l_mahms","ticket_nof3g"
"event:582550","zu0","","","","f2l_mj1s5",""
"event:805723","kbg","call_yg8yg","chat_4bak4","","f2l_fa91l",""
"event:919070","xm0","","chat_vn22o","ext_4zbqp","f2l_4tnw5",""
"event:896568","qrh","","","ext_yu8z5","f2l_6pa5r",""
"event:493066","76c","call_q76dz","chat_s418c","ext_t091m","f2l_het7e",""
"event:503417","0mc","","chat_90hwm","ext_wh9z7","f2l_3muc6","ticket_yy9el"
"event:794633","6cs","","chat_hhzpk","ext_i979r","","ticket_f88i6"
"event:976651","eb6","","chat_9dxck","ext_e24ma","f2l_vl9wd","ticket_2spf1"
"event:86011","228","call_8zqx0","chat_2qzck","ext_b54s1","f2l_qp2zb","ticket_rgrdj"
"event:380150","oyy","call_v2p8c","chat_unhn5","ext_qgzst","f2l_vmfl6",""
"event:307699","j2g","call_xrwc6","chat_naz8s","ext_y20us","f2l_ky3ye","ticket_p0hka"
"event:538548","wei","call_qhfkx","","ext_ulaar","f2l_vkqbx","ticket_8d5sz"
"event:104118","79w","","","","f2l_azo1j","ticket_0jts5"
"event:675099","wa7","call_9m1n5","chat_vw80a","ext_9yb39","f2l_z7o74","ticket_evc6p"
"event:173698","qz2","call_8su1m","chat_8rwgq","ext_q0faw","f2l_s8efg","ticket_ttxpr"
"event:539342","x96","","chat_vsis7","ext_od3s2","f2l_ytlby","ticket_7qvw6"
"event:544915","rt4","","chat_lbv7n","ext_5wwhf","f2l_hehph",""
"event:888012","w3f","call_ukrnh","chat_u6f6x","ext_uw4cs","f2l_xakvu",""
"event:935316","vzw","call_i955z","chat_os4ba","","f2l_3yvud",""
"event:469867","a2g","call_0w0l7","chat_irrja","ext_crnu1","f2l_bujg3","ticket_vw624"
"event:82513","qiy","call_iv16c","","ext_vj1aw","f2l_s41r6",""
"event:542224","src","","chat_1wb6m","","f2l_gvs96","ticket_hajks"
"event:165085","wde","call_4uu1n","","","",""
"event:178980","4ih","","chat_y12ia","","f2l_m5ikw","ticket_9th2t"
"event:12194","ysc","call_ai5tf","","","f2l_t6nc3","ticket_we9xo"
"event:735293","qj6","","chat_vjnoq","","f2l_g6vu0",""
"event:849479","81s","","chat_rdags","ext_r8vna","f2l_1o1h7","ticket_w41k2"
"event:458825","288","","","","","ticket_jq08f"
"event:862133","ml9","call_p2tv0","chat_cea1h","ext_c2v2w","f2l_4zv2x",""
"event:302295","r9s","","chat_gf1qw","","f2l_wfwtt","ticket_hjpe8"
"event:317175","0iz","call_b43iy","chat_9qtdg","ext_04ysi","f2l_jvn4e",""
"event:632349","opj","","chat_uf7qe","ext_83iwk","f2l_j6m6u","ticket_jz9mn"
"event:214371","0a7","","chat_b8dxx","ext_y1pgi","f2l_68cqh",""
"event:783614","8zw","call_gx6bv","chat_9dzn3","ext_smw79","f2l_34yx1","ticket_bizp3"
"event:787570","gkw","call_yiodm","chat_gednd","ext_sdp73","f2l_jantq","ticket_0ovcj"
"event:827676","i82","call_l6nf6","","","f2l_824v7","ticket_nus8y"
"event:517046","nyc","call_ajpp7","chat_a9mn7","","f2l_jgl7t","ticket_9n8lh"
"event:145722","t8q","call_2p08x","chat_cu7vh","ext_bs14z","f2l_69vqx",""
"event:551933","cnt","call_xwfz9","chat_mdl54","ext_gp27j","f2l_v4g9n","ticket_n5dn5"
"event:775942","9g8","call_70hhf","chat_c155z","ext_a6szi","f2l_u60p7","ticket_lsb99"
"event:658750","cu6","call_j3edg","chat_uf240","ext_v33w5","f2l_adept",""
"event:942901","hsw","call_fdp74","","ext_4613f","f2l_qoofi",""
"event:920180","gbe","","chat_wxycb","","f2l_o46yb",""
"event:530335","kag","call_vvs72","","","f2l_wzts6","ticket_enmnm"
"event:857905","f01","","chat_ka417","ext_ewwbs","","ticket_s63yd"
"event:579284","bli","call_qz7a9","chat_8sfcs","","","ticket_27l74"
"event:92416","vht","call_zomq1","chat_hhyug","","f2l_e7zra","ticket_xr4un"
"event:992305","e6j","","chat_ckyxb","ext_iyfz3","","ticket_4udkp"
"event:204881","5kk","call_q7rc8","chat_mgyli","","","ticket_aj8u1"
"event:584274","3e1","call_575hr","","","f2l_gsmgw","ticket_vdk4c"
"event:996655","gs8","","","","","ticket_yirc0"
"event:138363","7s8","call_fovhs","chat_zno81","ext_boibe","",""
"event:648260","qvq","call_rsk40","","ext_a0b9a","f2l_03tjq","ticket_57z5j"
"event:467891","rbz","call_64y0f","chat_vk5wf","ext_zy0gh","f2l_aadjh","ticket_rvbf3"
"event:780984","v0e","call_pqh6v","chat_1924j","","f2l_ezq9r",""
"event:509925","2mn","call_sqxe2","","","f2l_ljiaz",""
"event:827050","23n","call_tgf67","chat_0svl1","ext_w5ddb","","ticket_ljq1q"
"event:908125","511","","","ext_5dag4","","ticket_6r0e6"
"event:667981","9aq","call_m5nee","","","f2l_7gshz","ticket_5seim"
"event:39619","d1p","","chat_la470","ext_zy642","f2l_rwl4y",""
"event:229327","9z9","call_jv9w2","chat_zsa56","","f2l_u82wi","ticket_c0e32"
"event:577273","kzi","","chat_r34x7","ext_xlfn8","","ticket_0p9rp"
"event:391610","1sd","call_cghbp","chat_u5lsu","ext_e84oh","f2l_hnoq0","ticket_tdu54"
"event:718902","x24","call_b7oqe","chat_awndb","","f2l_ymzjc",""
"event:413592","emd","","chat_1rd6c","ext_o81mq","","ticket_oh7wd"
"event:407286","gfg","call_jtfd6","","ext_qej01","f2l_hroyx","ticket_10m5u"
"event:13072","mnd","","","","f2l_tj6zp","ticket_0mx1u"
"event:287519","078","call_5creb","chat_6cj18","ext_9lfdg","f2l_pf1so","ticket_ygq5m"
"event:374698","tru","","","ext_vnmdb","","ticket_0bo7y"
"event:667712","v5c","call_y04qo","chat_m6d11","","f2l_tvgls","ticket_97y7f"
"event:125248","dsb","","chat_olldk","ext_xtk6a","","ticket_qpyj9"
"event:78270","kmc","call_fgrf8","","","f2l_eurlz","ticket_p27pd"
"event:579726","cyw","","chat_fvomp","","f2l_5unhx","ticket_31hxr"
"event:806171","ktp","","chat_fiqo2","ext_0yjjr","","ticket_s99q4"
"event:298004","4qa","call_j79n1","","ext_qtg66","f2l_86yu5","ticket_gnu34"
"event:913373","dsl","call_xaaf2","","","f2l_o0y3j",""
"event:250374","58t","call_s6m9x","","ext_31tjq","f2l_488r2","ticket_v4xs3"
"event:166084","juj","call_tgmdn","","","f2l_stabj",""
"event:731873","f8g","","","","f2l_zl35u","ticket_82s4b"
"event:520144","7nv","","chat_n13mj","ext_rs558","f2l_azg5h","ticket_rlww0"
"event:357257","uz1","","chat_ffh84","ext_x7ogp","f2l_cs343","ticket_ojsn8"
"event:385246","la1","call_t31bl","chat_4crwq","ext_930qc","","ticket_g2ebb"
"event:939477","frq","call_b18t2","chat_75twq","ext_n1nw4","","ticket_3zbpa"
"event:851843","dxb","call_427go","chat_wipof","","f2l_e74fl","ticket_ydjd1"
"event:626477","fl2","call_ha2ge","","ext_z9v9p","f2l_wkcbq","ticket_sngir"
"event:931072","nyv","call_8zmhc","chat_w0xvj","ext_n5cpl","f2l_yl1or","ticket_mz20u"
"event:486326","e44","call_7wftx","","ext_ayu64","","ticket_sk5go"
"event:353415","e39","call_e1vvk","","ext_n2t4i","","ticket_tqxl5"
"event:484718","4js","","chat_uf1mr","ext_tzaxa","f2l_kgtcw","ticket_f1qrf"
"event:906651","zo5","call_35dhf","chat_vd8lg","ext_r4aeu","","ticket_8l2k1"
"event:862212","ja7","","","","f2l_5j1id","ticket_e35dz"
"event:454127","wg9","call_7f5h2","chat_ikyay","ext_ebhvw","f2l_v5leu","ticket_1cvrn"
"event:952491","5n1","call_ou8pe","","ext_75boh","f2l_eoc1v","ticket_9hybm"
"event:219151","10a","call_mnt5p","","ext_amicn","f2l_g740j",""
"event:618111","i7e","","chat_so3q9","","f2l_4tlqe","ticket_7bpza"
"event:534417","q76","call_bns5p","chat_f34w4","ext_0w84l","","ticket_7b13i"
"event:575776","t1j","call_qre0n","chat_ri1k2","ext_8g5bv","","ticket_euji1"
"event:275541","z6e","","chat_8x4mx","","f2l_kugc7",""
"event:235881","4b3","call_ixkfa","chat_hf0pw","ext_ufsqq","f2l_8bbj8","ticket_art9q"
"event:687278","o99","","chat_h5tsn","","f2l_o65tq",""
"event:830233","1bi","","","","","ticket_99wa6"
"event:514327","e0c","","chat_4mlxs","ext_kqot0","f2l_idtzq",""
"event:364105","ak6","","chat_3h9e6","ext_hngn9","f2l_aunk1","ticket_4w683"
"event:929767","i20","call_bkv7d","chat_2pr2o","ext_5fvau","",""
"event:363326","zuc","call_m8j75","","ext_kvtdk","f2l_lqmxb",""
"event:716682","u3u","call_ei28l","chat_i6gdp","ext_0q01o","f2l_cvijj","ticket_c09yj"
"event:48918","iy5","call_3w78o","chat_j805r","","",""
"event:311646","k86","call_cm8x7","chat_m5kh9","","",""
"event:12426","pmu","call_7ari0","chat_m1r5n","","f2l_52vqj",""
"event:237310","s2w","","chat_ldudv","","","ticket_x9iq5"
"event:546155","09f","","","","",""
"event:77520","amc","call_kv4q6","chat_q5p81","ext_xtzoj","","ticket_ktni2"
"event:989526","574","call_itn8a","chat_b1x8t","","",""
"event:703820","1hm","","chat_au2ee","ext_5cp37","","ticket_4n5is"
"event:100354","sea","call_nnzdb","chat_0eh6r","","f2l_alep2",""
"event:397728","oao","call_dkbms","chat_fgmlk","ext_ssavx","f2l_b2zeq","ticket_hqwzz"
"event:652638","d2d","","chat_cm7nj","ext_h6cbw","","ticket_95ctp"
"event:219256","th6","","chat_is79y","","f2l_k5zr4","ticket_c15gf"
"event:618382","62a","call_2ig9g","chat_0wfue","","","ticket_zvpvu"
"event:181270","3j9","call_w3w4w","","ext_fij7g","f2l_kg8os","ticket_qihbl"
"event:799318","1uf","call_7owmp","chat_mkhn0","ext_ytr5w","f2l_p1oqw",""
"event:314826","5nm","call_e2uc9","chat_x1pg5","ext_zrowt","",""
"event:244450","c5a","","chat_qnuow","ext_r6r8m","f2l_wxmkw","ticket_2rbz4"
"event:232294","116","call_4xrg9","chat_r7jh3","ext_lc6vg","f2l_ddqeh","ticket_up25a"
"event:137745","8vt","call_a773k","","ext_3zo8j","f2l_wsv47","ticket_03tfm"
"event:204207","uj2","call_pmjt8","","ext_4v4qc","f2l_r14ij","ticket_3napt"
"event:907477","q6l","call_mj07n","","","",""
"event:994363","vwq","call_kj5uy","chat_or783","ext_cds2a","f2l_hzgeo",""
"event:664361","0zj","call_rrrwp","","ext_m69cn","f2l_k0cdi",""
"event:844236","ujf","call_az7ry","chat_786hg","","","ticket_wv1ck"
"event:792101","pg6","call_z6tga","chat_4pg9k","ext_tlhkd","f2l_1ck8z","ticket_ld03u"
"event:468628","afn","call_g7f4t","chat_0j3sw","ext_6fet8","",""
"event:405675","gq4","call_94lzl","chat_f5v57","ext_qq33r","","ticket_25orx"
"event:878964","mzc","call_8d8vc","","ext_m6a6c","f2l_si7zp",""
"event:840794","9fr","call_h1ow3","chat_lqtgg","ext_01d9l","","ticket_22q5d"
"event:788314","w5i","call_edax1","chat_dlidn","ext_ht5y5","f2l_hkzmw","ticket_co5z5"
"event:791559","51r","","chat_tby6w","ext_7vygy","f2l_kc94o","ticket_mpkv3"
"event:502916","9c1","call_4ryel","","","",""
"event:590969","g7p","","chat_2ahmu","","f2l_enao5","ticket_btup0"
"event:164271","gjl","","chat_x7jzp","ext_qkhlj","f2l_7ge9w","ticket_81yzk"
"event:149248","9ij","call_ppfcg","","ext_jiyy4","f2l_250pv","ticket_qv011"
"event:474617","fkg","","chat_52xqc","ext_wu7c2","f2l_jrtit","ticket_pb418"
"event:239480","4g8","call_9fj60","","ext_duv6u","f2l_2q377","ticket_q6pxl"
"event:315643","mob","","chat_s4xa5","","","ticket_0vndw"
"event:678988","uz6","call_0xpsr","chat_jin68","ext_2huct","f2l_tmt9i","ticket_060d8"
"event:994249","6oz","call_3jiq8","chat_vcvhe","ext_31y7l","f2l_tw3u9","ticket_zue3v"
"event:1719","bkj","call_7cxza","chat_2las6","","f2l_89xoj",""
"event:505088","4x8","call_72aik","chat_y69te","ext_1a2d3","f2l_762k0","ticket_vh38s"
"event:892923","8jz","call_u5dr8","","","",""
"event:482452","o17","","chat_47obu","","f2l_z5gc5","ticket_vpmsz"
"event:896458","98j","","chat_uyww3","ext_hx09t","","ticket_1bqdk"
"event:877115","w6n","call_imx6s","chat_046m1","","f2l_we0xe","ticket_lw4t1"
"event:735941","pfn","call_4uoa0","chat_qwo14","ext_ryv4p","f2l_0ikom","ticket_mrkcc"
"event:228770","zqa","","","ext_1t3mo","","ticket_caqst"
"event:742627","pjr","call_m96b4","chat_2ogo7","ext_bv6x8","",""
